20180913-09:50:58.802,-316,16212,-592,2152
20180913-09:50:58.805,520,15384,-704,2153
20180913-09:50:58.807,520,15384,-704,2152
20180913-09:50:58.810,-1976,15552,-5116,2163
20180913-09:50:58.812,-1976,15552,-5116,2175
20180913-09:50:58.814,1972,17488,2820,2193
20180913-09:50:58.816,1972,17488,2820,2200
20180913-09:50:58.819,-512,17024,-840,2182
20180913-09:50:58.821,-512,17024,-840,2162
20180913-09:50:58.823,-512,14484,-1076,2152
20180913-09:50:58.825,368,14484,-1076,2166
20180913-09:50:58.827,368,14484,-1076,2152
20180913-09:50:58.829,-1864,16656,-5236,2153
20180913-09:50:58.832,-1864,16656,-5236,2164
20180913-09:50:58.834,2280,16748,3044,2188
20180913-09:50:58.836,2280,16748,3044,2196
20180913-09:50:58.838,2280,16748,3044,2180
20180913-09:50:58.840,-772,17928,-1028,2170
20180913-09:50:58.842,-772,17928,-1028,2156
20180913-09:50:58.844,596,13384,-1164,2165
20180913-09:50:58.847,596,13384,-1164,2163
20180913-09:50:58.850,-2008,17168,-4968,2156
20180913-09:50:58.852,-2008,17168,-4968,2176
20180913-09:50:58.854,2380,16148,3140,2187
20180913-09:50:58.856,2380,16148,3140,2202
20180913-09:50:58.858,2380,16148,3140,2183
20180913-09:50:58.860,-1052,18464,-892,2176
20180913-09:50:58.862,-1052,18464,-892,2157
20180913-09:50:58.864,336,12848,-1800,2150
20180913-09:50:58.867,336,12848,-1800,2155
20180913-09:50:58.870,-2192,18348,-4544,2156
20180913-09:50:58.872,-2192,18348,-4544,2175
20180913-09:50:58.874,2412,15368,3328,2188
20180913-09:50:58.877,2412,15368,3328,2197
20180913-09:50:58.879,2412,15368,-1204,2184
20180913-09:50:58.881,-872,18928,-1204,2164
20180913-09:50:58.883,-872,18928,-1204,2158
20180913-09:50:58.885,724,12204,-2268,2162
20180913-09:50:58.888,724,12204,-2268,2148
20180913-09:50:58.890,-2004,18760,-4000,2166
20180913-09:50:58.892,-2004,18760,-4000,2172
20180913-09:50:58.895,2332,15160,3168,2198
20180913-09:50:58.897,2332,15160,3168,2196
20180913-09:50:58.899,2332,15160,-940,2178
20180913-09:50:58.901,-1080,19352,-940,2160
20180913-09:50:58.904,-1080,19352,-940,2152
